ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
404,2,GC890,3.7,2026-06-03,"客户ID: GC890
客户公司: 创联世纪信息有限公司移动应用开发
客户所在地: 福州县, 中国
产品信息: 美的 智能插座 Standard (类别: 智能插座)
生产商: 美的智能科技
产品价格: 9962.25
评分: 3.7星
评价日期: 2026年06月03日
评价内容: ""这款智能插座一般，做工精细，但是噪音控制有点问题。""",128,智能插座,美的 智能插座 Standard,创联世纪信息有限公司移动应用开发
655,11,RY572,1.3,2026-06-03,"客户ID: RY572
客户公司: 中建创业信息有限公司虚拟现实
客户所在地: 冬梅县, 中国
产品信息: 小米 智能门锁 Mini (类别: 智能门锁)
生产商: 小米智能家居
产品价格: 4624.66
评分: 1.3星
评价日期: 2026年06月03日
评价内容: ""必须承认，这款智能门锁有严重问题。主要问题在于耗电量大。""",129,智能门锁,小米 智能门锁 Mini,中建创业信息有限公司虚拟现实
1095,10,GJ116,3.8,2026-06-03,"客户ID: GJ116
客户公司: 良诺信息有限公司生物科技
客户所在地: 红市, 中国
产品信息: 美的 智能窗帘 Max (类别: 智能窗帘)
生产商: 美的智能科技
产品价格: 1836.78
评分: 3.8星
评价日期: 2026年06月03日
评价内容: ""对比了市面上几款同类产品后，这款智能窗帘一般般。在晚上睡前时使用体验还不错。而且电池寿命有点问题。可以考虑其他品牌的同类产品。""",161,智能窗帘,美的 智能窗帘 Max,良诺信息有限公司生物科技
166,27,WB890,1.8,2026-06-02,"客户ID: WB890
客户公司: 鑫博腾飞网络有限公司金融科技
客户所在地: 马鞍山市, 中国
产品信息: 小米 智能加湿器 Plus (类别: 智能加湿器)
生产商: 小米智能家居
产品价格: 8210.59
评分: 1.8星
评价日期: 2026年06月02日
评价内容: ""不推荐这款智能加湿器，稳定性差，很失望。""",124,智能加湿器,小米 智能加湿器 Plus,鑫博腾飞网络有限公司金融科技
230,80,GJ116,1.9,2026-06-02,"客户ID: GJ116
客户公司: 良诺信息有限公司生物科技
客户所在地: 红市, 中国
产品信息: LG 智能音箱 Lite (类别: 智能音箱)
生产商: LG智能家电
产品价格: 6885.61
评分: 1.9星
评价日期: 2026年06月02日
评价内容: ""说实话，这款LG 智能音箱 Lite使用体验很差。电池寿命简直无法忍受。不推荐任何人购买。""",135,智能音箱,LG 智能音箱 Lite,良诺信息有限公司生物科技
428,23,EI532,1.0,2026-06-02,"客户ID: EI532
客户公司: 七喜传媒有限公司人工智能
客户所在地: 丽华县, 中国
产品信息: 美的 智能净水器 Plus (类别: 智能净水器)
生产商: 美的智能科技
产品价格: 8466.26
评分: 1.0星
评价日期: 2026年06月02日
评价内容: ""从我的使用体验来看，这款智能净水器很失望。在看电影时时完全不能正常工作。希望厂家能重视这些问题。""",149,智能净水器,美的 智能净水器 Plus,七喜传媒有限公司人工智能
1190,1,BN418,1.1,2026-06-01,"客户ID: BN418
客户公司: 易动力网络有限公司移动应用开发
客户所在地: 重庆市, 中国
产品信息: 亚马逊 智能电饭煲 Advanced (类别: 智能电饭煲)
生产商: 亚马逊智能科技
产品价格: 7608.63
评分: 1.1星
评价日期: 2026年06月01日
评价内容: ""老实讲，这款智能电饭煲功能实现得很糟糕。在做饭时时完全不能正常工作。这钱花得太冤枉了。""",149,智能电饭煲,亚马逊 智能电饭煲 Advanced,易动力网络有限公司移动应用开发
1196,91,WB890,3.8,2026-06-01,"客户ID: WB890
客户公司: 鑫博腾飞网络有限公司金融科技
客户所在地: 马鞍山市, 中国
产品信息: 亚马逊 智能音箱 Basic (类别: 智能音箱)
生产商: 亚马逊智能科技
产品价格: 3165.04
评分: 3.8星
评价日期: 2026年06月01日
评价内容: ""这款智能音箱一般，操作简单，但是连接稳定性有点问题。""",130,智能音箱,亚马逊 智能音箱 Basic,鑫博腾飞网络有限公司金融科技
460,74,LB704,4.2,2026-05-30,"客户ID: LB704
客户公司: 群英信息有限公司金融科技
客户所在地: 昆明县, 中国
产品信息: 松下 智能窗帘 Lite (类别: 智能窗帘)
生产商: 松下智能电器
产品价格: 2277.79
评分: 4.2星
评价日期: 2026年05月30日
评价内容: ""这款智能窗帘的自动调节功能很实用，功能齐全。""",121,智能窗帘,松下 智能窗帘 Lite,群英信息有限公司金融科技
1230,49,GL926,2.3,2026-05-29,"客户ID: GL926
客户公司: 时空盒数字传媒有限公司大数据分析
客户所在地: 巢湖市, 中国
产品信息: 松下 智能加湿器 Pro (类别: 智能加湿器)
生产商: 松下智能电器
产品价格: 8374.66
评分: 2.3星
评价日期: 2026年05月29日
评价内容: ""不推荐这款智能加湿器，续航时间短，很失望。""",126,智能加湿器,松下 智能加湿器 Pro,时空盒数字传媒有限公司大数据分析
273,54,US056,4.5,2026-05-28,"客户ID: US056
客户公司: 国讯网络有限公司移动应用开发
客户所在地: 文市, 中国
产品信息: 博世 智能开关 Max (类别: 智能开关)
生产商: 博世智能系统
产品价格: 7392.09
评分: 4.5星
评价日期: 2026年05月28日
评价内容: ""购买后，这款博世 智能开关 Max值得推荐。然而在看电影时时表现尤为出色。比我预期的要好。如果非要说缺点的话，信号强度还有提升空间。推荐给有需要的朋友。""",172,智能开关,博世 智能开关 Max,国讯网络有限公司移动应用开发
596,26,BN418,1.9,2026-05-26,"客户ID: BN418
客户公司: 易动力网络有限公司移动应用开发
客户所在地: 重庆市, 中国
产品信息: 亚马逊 智能扫地机器人 Mini (类别: 智能扫地机器人)
生产商: 亚马逊智能科技
产品价格: 7885.52
评分: 1.9星
评价日期: 2026年05月26日
评价内容: ""从我的使用体验来看，这款亚马逊 智能扫地机器人 Mini质量太差。主要问题在于稳定性差。这钱花得太冤枉了。""",158,智能扫地机器人,亚马逊 智能扫地机器人 Mini,易动力网络有限公司移动应用开发
1224,54,FJ947,2.3,2026-05-26,"客户ID: FJ947
客户公司: 浙大万朋信息有限公司生物科技
客户所在地: 鑫市, 中国
产品信息: 博世 智能开关 Max (类别: 智能开关)
生产商: 博世智能系统
产品价格: 7392.09
评分: 2.3星
评价日期: 2026年05月26日
评价内容: ""不推荐这款智能开关，画质模糊，很失望。""",119,智能开关,博世 智能开关 Max,浙大万朋信息有限公司生物科技
1203,85,WQ849,2.2,2026-05-25,"客户ID: WQ849
客户公司: 开发区世创科技有限公司科技公司
客户所在地: 嘉禾市, 中国
产品信息: 博世 智能马桶 Basic (类别: 智能马桶)
生产商: 博世智能系统
产品价格: 1564.93
评分: 2.2星
评价日期: 2026年05月25日
评价内容: ""收到货后，这款智能马桶不推荐购买。主要问题在于反应迟钝。唯一值得称赞的可能就是包装很精美。这钱花得太冤枉了。""",156,智能马桶,博世 智能马桶 Basic,开发区世创科技有限公司科技公司
1205,14,DX151,3.7,2026-05-25,"客户ID: DX151
客户公司: 易动力信息有限公司物联网
客户所在地: 佛山县, 中国
产品信息: 格力 智能净水器 Mini (类别: 智能净水器)
生产商: 格力智能电器
产品价格: 8271.83
评分: 3.7星
评价日期: 2026年05月25日
评价内容: ""智能净水器的质量还可以，质量很好，不过反应迟钝。""",125,智能净水器,格力 智能净水器 Mini,易动力信息有限公司物联网
663,99,JT617,3.7,2026-05-25,"客户ID: JT617
客户公司: 时空盒数字信息有限公司智能科技
客户所在地: 郑州县, 中国
产品信息: 三星 智能音箱 Basic (类别: 智能音箱)
生产商: 三星智能家电
产品价格: 1681.15
评分: 3.7星
评价日期: 2026年05月25日
评价内容: ""总体来说还行，节能环保，就是耗电量大。""",121,智能音箱,三星 智能音箱 Basic,时空盒数字信息有限公司智能科技
1007,17,VC531,4.4,2026-05-25,"客户ID: VC531
客户公司: 九方传媒有限公司生物科技
客户所在地: 六盘水市, 中国
产品信息: 苹果 智能门锁 Plus (类别: 智能门锁)
生产商: 苹果智能家庭
产品价格: 8194.53
评分: 4.4星
评价日期: 2026年05月25日
评价内容: ""使用后感觉，这款苹果 智能门锁 Plus非常满意。和官方展示的有差距。如果非要说缺点的话，价格稍微贵了一点。总体来说还是很满意的。""",160,智能门锁,苹果 智能门锁 Plus,九方传媒有限公司生物科技
36,50,DH200,2.7,2026-05-24,"客户ID: DH200
客户公司: 盟新传媒有限公司大数据分析
客户所在地: 辽阳县, 中国
产品信息: 苹果 智能空气净化器 Basic (类别: 智能空气净化器)
生产商: 苹果智能家庭
产品价格: 9846.71
评分: 2.7星
评价日期: 2026年05月24日
评价内容: ""散热问题问题很严重，完全不值这个价格。""",125,智能空气净化器,苹果 智能空气净化器 Basic,盟新传媒有限公司大数据分析
537,53,EI532,1.1,2026-05-23,"客户ID: EI532
客户公司: 七喜传媒有限公司人工智能
客户所在地: 丽华县, 中国
产品信息: 华为 智能电视 Lite (类别: 智能电视)
生产商: 华为智能生活
产品价格: 2968.02
评分: 1.1星
评价日期: 2026年05月23日
评价内容: ""散热问题问题很严重，完全不值这个价格。""",118,智能电视,华为 智能电视 Lite,七喜传媒有限公司人工智能
1209,29,BI759,3.3,2026-05-23,"客户ID: BI759
客户公司: 时空盒数字信息有限公司虚拟现实
客户所在地: 荣市, 中国
产品信息: 博世 智能空气净化器 Lite (类别: 智能空气净化器)
生产商: 博世智能系统
产品价格: 6067.97
评分: 3.3星
评价日期: 2026年05月23日
评价内容: ""在多次对比之后选择了这款，这款智能空气净化器优缺点都有。刚收到时，智能学习表现不错。最重要的是使用久了会发现一些小问题。性价比很高。""",173,智能空气净化器,博世 智能空气净化器 Lite,时空盒数字信息有限公司虚拟现实
16,78,PJ659,3.2,2026-05-22,"客户ID: PJ659
客户公司: 超艺网络有限公司人工智能
客户所在地: 武汉市, 中国
产品信息: 三星 智能音箱 Elite (类别: 智能音箱)
生产商: 三星智能家电
产品价格: 5080.6
评分: 3.2星
评价日期: 2026年05月22日
评价内容: ""这款产品优缺点都有，功能齐全，但使用说明不清。""",122,智能音箱,三星 智能音箱 Elite,超艺网络有限公司人工智能
30,88,NU711,3.0,2026-05-22,"客户ID: NU711
客户公司: 易动力科技有限公司人工智能
客户所在地: 桂兰县, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 3.0星
评价日期: 2026年05月22日
评价内容: ""对比了市面上几款同类产品后，这款智能体重秤质量还行。在工作时时使用体验还不错。最让我失望的是使用久了会发现一些小问题。这个价位能买到这样的产品已经很不错了。""",180,智能体重秤,格力 智能体重秤 Ultra,易动力科技有限公司人工智能
