productId:ID(Product),ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName,labels:LABEL
1,亚马逊 智能电饭煲 Advanced,4,19,2个/包,7608.63,478,46,59,0,智能电饭煲,亚马逊智能科技,Product
2,美的 智能插座 Standard,9,3,5个/套,9962.25,61,187,89,0,智能插座,美的智能科技,Product
3,华为 智能电视 Basic,2,11,1台/件,8554.76,42,189,46,0,智能电视,华为智能生活,Product
4,西门子 智能电视 Pro,12,11,1台/箱,9993.23,910,190,84,0,智能电视,西门子智能家居,Product
5,美的 智能电饭煲 Pro,9,19,3个/套,5002.04,920,54,58,0,智能电饭煲,美的智能科技,Product
6,海尔智慧家庭 智能空气净化器 Basic,8,17,1个/件,5495.06,342,161,12,0,智能空气净化器,海尔智慧家庭,Product
7,博世 智能扫地机器人 Max,11,7,1台/箱,1108.4,740,176,66,0,智能扫地机器人,博世智能系统,Product
8,松下 智能开关 Lite,13,14,5个/套,9053.56,556,76,17,0,智能开关,松下智能电器,Product
9,亚马逊 智能插座 Pro,4,3,1套/箱,6880.25,297,152,88,0,智能插座,亚马逊智能科技,Product
10,美的 智能窗帘 Max,9,6,5个/套,1836.78,558,189,74,0,智能窗帘,美的智能科技,Product
11,小米 智能门锁 Mini,1,4,1个/盒,4624.66,929,105,25,0,智能门锁,小米智能家居,Product
12,格力 智能空气净化器 Standard,10,17,1个/件,9181.39,234,168,78,0,智能空气净化器,格力智能电器,Product
13,三星 智能电饭煲 Max,6,19,1个/盒,3642.29,846,190,56,0,智能电饭煲,三星智能家电,Product
14,格力 智能净水器 Mini,10,16,1套/箱,8271.83,208,155,81,0,智能净水器,格力智能电器,Product
15,谷歌 智能音箱 Elite,5,1,1台/箱,6218.93,310,156,64,0,智能音箱,谷歌智能设备,Product
16,小米 智能电饭煲 Ultra,1,19,3个/套,8557.36,971,79,85,0,智能电饭煲,小米智能家居,Product
17,苹果 智能门锁 Plus,3,4,1套/箱,8194.53,547,62,51,0,智能门锁,苹果智能家庭,Product
18,美的 智能门锁 Mini,9,4,5个/套,5323.58,67,123,63,0,智能门锁,美的智能科技,Product
19,海尔智慧家庭 智能开关 Plus,8,14,1台/件,7438.8,859,119,78,0,智能开关,海尔智慧家庭,Product
20,谷歌 智能净水器 Basic,5,16,3个/套,2404.37,254,179,10,1,智能净水器,谷歌智能设备,Product
21,华为 智能加湿器 Plus,2,18,2个/包,2510.66,542,21,97,0,智能加湿器,华为智能生活,Product
22,美的 智能电视 Basic,9,11,1个/盒,7621.5,538,116,76,0,智能电视,美的智能科技,Product
23,美的 智能净水器 Plus,9,16,1台/箱,8466.26,662,122,49,0,智能净水器,美的智能科技,Product
24,西门子 智能电视 Pro,12,11,1套/箱,6676.17,35,105,15,0,智能电视,西门子智能家居,Product
25,三星 智能窗帘 Basic,6,6,1套/箱,9678.27,846,68,68,0,智能窗帘,三星智能家电,Product
26,亚马逊 智能扫地机器人 Mini,4,7,2个/包,7885.52,407,55,32,0,智能扫地机器人,亚马逊智能科技,Product
27,小米 智能加湿器 Plus,1,18,3个/套,8210.59,982,95,61,0,智能加湿器,小米智能家居,Product
28,飞利浦 智能扫地机器人 Plus,7,7,1套/箱,230.53,307,170,80,0,智能扫地机器人,飞利浦智能照明,Product
29,博世 智能空气净化器 Lite,11,17,5个/套,6067.97,197,64,53,0,智能空气净化器,博世智能系统,Product
30,小米 智能开关 Ultra,1,14,3个/套,747.93,847,13,64,1,智能开关,小米智能家居,Product
31,三星 智能加湿器 Mini,6,18,1台/箱,1356.55,215,76,63,0,智能加湿器,三星智能家电,Product
32,亚马逊 智能马桶 Elite,4,15,1个/盒,1801.88,105,153,23,0,智能马桶,亚马逊智能科技,Product
33,飞利浦 智能加湿器 Ultra,7,18,5个/套,6144.74,279,59,43,0,智能加湿器,飞利浦智能照明,Product
34,松下 智能开关 Advanced,13,14,1个/盒,7248.19,175,171,75,0,智能开关,松下智能电器,Product
35,亚马逊 智能门铃 Max,4,20,1个/盒,3226.81,963,142,87,0,智能门铃,亚马逊智能科技,Product
36,海尔智慧家庭 智能加湿器 Lite,8,18,2个/包,9057.68,598,30,26,0,智能加湿器,海尔智慧家庭,Product
