text,ReviewID,ProductID,CustomerID,Rating,ReviewDate,token_count,CategoryName,ProductName,CompanyName
"客户ID: NU711
客户公司: 易动力科技有限公司人工智能
客户所在地: 桂兰县, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 3.0星
评价日期: 2026年05月22日
评价内容: ""对比了市面上几款同类产品后，这款智能体重秤质量还行。在工作时时使用体验还不错。最让我失望的是使用久了会发现一些小问题。这个价位能买到这样的产品已经很不错了。""<ROW_SEP>

客户ID: PL616
客户公司: 巨奥网络有限公司金融科技
客户所在地: 明市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 4.4星
评价日期: 2026年05月10日
评价内容: ""体验下来，这款格力 智能体重秤 Ultra做工精细。最让我失望的是定时功能是我最喜欢的部分。和官方展示的有差距。推荐给有需要的朋友。""<ROW_SEP>

客户ID: PL616
客户公司: 巨奥网络有限公司金融科技
客户所在地: 明市, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 2.0星
评价日期: 2026年04月10日
评价内容: ""对这款智能体重秤非常不满意，画质模糊，浪费钱。""<ROW_SEP>

客户ID: YR398
客户公司: 浦华众城信息有限公司虚拟现实
客户所在地: 大冶市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 3.6星
评价日期: 2026年04月03日
评价内容: ""智能体重秤的质量还可以，安装方便，不过价格偏高。""<ROW_SEP>

客户ID: GA851
客户公司: 明腾传媒有限公司金融科技
客户所在地: 齐齐哈尔县, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 3.8星
评价日期: 2026年03月31日
评价内容: ""总体来说还行，智能化程度高，就是兼容性差。""<ROW_SEP>

客户ID: RY572
客户公司: 中建创业信息有限公司虚拟现实
客户所在地: 冬梅县, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 4.3星
评价日期: 2026年02月28日
评价内容: ""这款智能体重秤的节能模式功能很实用，兼容性强。""",30,88,NU711,3.0,2026-05-22,860,智能体重秤,格力 智能体重秤 Ultra,易动力科技有限公司人工智能
"客户ID: PC764
客户公司: 恒聪百汇传媒有限公司虚拟现实
客户所在地: 重庆市, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 2.7星
评价日期: 2026年02月14日
评价内容: ""老实讲，这款智能体重秤完全不符合预期。信号强度简直无法忍受。希望厂家能重视这些问题。""<ROW_SEP>

客户ID: YR398
客户公司: 浦华众城信息有限公司虚拟现实
客户所在地: 大冶市, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 4.9星
评价日期: 2026年01月15日
评价内容: ""个人认为，这款智能体重秤真的很不错。而且高清画质设计很贴心。如果非要说缺点的话，可能就是反应迟钝。可以考虑其他品牌的同类产品。""<ROW_SEP>

客户ID: VC531
客户公司: 九方传媒有限公司生物科技
客户所在地: 六盘水市, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 2.1星
评价日期: 2025年12月19日
评价内容: ""这款产品有严重问题，续航时间短，已经申请退款。""<ROW_SEP>

客户ID: EI532
客户公司: 七喜传媒有限公司人工智能
客户所在地: 丽华县, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 3.2星
评价日期: 2025年10月29日
评价内容: ""这款智能体重秤一般，操作简单，但是散热问题有点问题。""<ROW_SEP>

客户ID: GL926
客户公司: 时空盒数字传媒有限公司大数据分析
客户所在地: 巢湖市, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 3.8星
评价日期: 2025年10月09日
评价内容: ""总体来说还行，做工精细，就是反应迟钝。""<ROW_SEP>

客户ID: GL926
客户公司: 时空盒数字传媒有限公司大数据分析
客户所在地: 巢湖市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 2.6星
评价日期: 2025年10月07日
评价内容: ""作为一个经常使用此类产品的人，这款格力 智能体重秤 Ultra不值这个价格。主要问题在于稳定性差。""<ROW_SEP>

客户ID: ZG109
客户公司: 襄樊地球村网络有限公司智能科技
客户所在地: 坤县, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 3.0星
评价日期: 2025年10月04日
评价内容: ""在看电影时使用还不错，但在其他情况下表现一般。""",560,56,PC764,2.7,2026-02-14,985,智能体重秤,华为 智能体重秤 Advanced,恒聪百汇传媒有限公司虚拟现实
"客户ID: VX147
客户公司: 东方峻景传媒有限公司金融科技
客户所在地: 海门县, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 2.7星
评价日期: 2025年09月30日
评价内容: ""我觉得，这款格力 智能体重秤 Ultra不值这个价格。在早晨起床时完全不能正常工作。唯一值得称赞的可能就是包装很精美。希望厂家能重视这些问题。""<ROW_SEP>

客户ID: CZ861
客户公司: 合联电子科技有限公司信息技术
客户所在地: 荣市, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 3.2星
评价日期: 2025年09月03日
评价内容: ""从我的使用体验来看，这款华为 智能体重秤 Advanced没有特别惊喜。优点是安装方便。然而使用久了会发现一些小问题。推荐给有需要的朋友。""<ROW_SEP>

客户ID: ZH741
客户公司: 巨奥科技有限公司信息技术
客户所在地: 峰县, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 2.6星
评价日期: 2025年09月02日
评价内容: ""不推荐这款智能体重秤，操作复杂，很失望。""<ROW_SEP>

客户ID: TO444
客户公司: MBP软件网络有限公司移动应用开发
客户所在地: 辛集市, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 2.3星
评价日期: 2025年07月29日
评价内容: ""不推荐这款智能体重秤，兼容性差，很失望。""<ROW_SEP>

客户ID: RG743
客户公司: 快讯信息有限公司智能科技
客户所在地: 勇县, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 3.4星
评价日期: 2025年07月17日
评价内容: ""收到货后，这款格力 智能体重秤 Standard功能基本满足需求。在做饭时时使用体验还不错。另外缺点是反应迟钝。性价比很高。""<ROW_SEP>

客户ID: YZ898
客户公司: 通际名联科技有限公司金融科技
客户所在地: 济南市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 3.8星
评价日期: 2025年07月14日
评价内容: ""智能体重秤的质量还可以，音质出色，不过功能单一。""",1180,88,VX147,2.7,2025-09-30,874,智能体重秤,格力 智能体重秤 Ultra,东方峻景传媒有限公司金融科技
"客户ID: ZV584
客户公司: 维旺明科技有限公司大数据分析
客户所在地: 杭州市, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 1.1星
评价日期: 2025年06月28日
评价内容: ""使用一周后出现故障，价格偏高，售后服务也不好。""<ROW_SEP>

客户ID: ME428
客户公司: 创汇网络有限公司虚拟现实
客户所在地: 秀英市, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 4.3星
评价日期: 2025年06月23日
评价内容: ""在多次对比之后选择了这款，这款智能体重秤值得推荐。令人意外的是语音识别功能特别实用。和朋友推荐的一样好用。这个价位能买到这样的产品已经很不错了。""<ROW_SEP>

客户ID: FC418
客户公司: 网新恒天网络有限公司生物科技
客户所在地: 秀珍县, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 2.0星
评价日期: 2025年06月21日
评价内容: ""我觉得，这款格力 智能体重秤 Standard使用体验很差。主要问题在于功能单一。""<ROW_SEP>

客户ID: GL926
客户公司: 时空盒数字传媒有限公司大数据分析
客户所在地: 巢湖市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 4.3星
评价日期: 2025年06月16日
评价内容: ""个人认为，这款智能体重秤值得推荐。此外高清画质设计很贴心。如果非要说缺点的话，可能就是稳定性差。值得购买。""<ROW_SEP>

客户ID: DH200
客户公司: 盟新传媒有限公司大数据分析
客户所在地: 辽阳县, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 3.9星
评价日期: 2025年05月12日
评价内容: ""在工作时使用还不错，但在其他情况下表现一般。""<ROW_SEP>

客户ID: CZ861
客户公司: 合联电子科技有限公司信息技术
客户所在地: 荣市, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 3.7星
评价日期: 2025年05月07日
评价内容: ""坦白讲，这款智能体重秤总体来说还可以。在工作时时使用体验还不错。更让我满意的是散热问题有点问题。不太推荐购买。""",226,56,ZV584,1.1,2025-06-28,893,智能体重秤,华为 智能体重秤 Advanced,维旺明科技有限公司大数据分析
"客户ID: GR729
客户公司: 中建创业网络有限公司移动应用开发
客户所在地: 辽阳县, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 2.5星
评价日期: 2025年05月03日
评价内容: ""对这款智能体重秤非常不满意，耗电量大，浪费钱。""<ROW_SEP>

客户ID: BW289
客户公司: 海创网络有限公司生物科技
客户所在地: 汕尾县, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 4.6星
评价日期: 2025年04月22日
评价内容: ""智能体重秤的设计很人性化，节能环保，值得推荐。""<ROW_SEP>

客户ID: UY980
客户公司: 兰金电子传媒有限公司生物科技
客户所在地: 桂香县, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 2.4星
评价日期: 2025年03月04日
评价内容: ""作为一个经常使用此类产品的人，这款智能体重秤不值这个价格。使用不到一周就出现了失灵。希望厂家能重视这些问题。""<ROW_SEP>

客户ID: CC657
客户公司: 昊嘉信息有限公司信息技术
客户所在地: 军县, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 5.0星
评价日期: 2025年01月30日
评价内容: ""非常满意这次购买，操作简单，送货也很快。""<ROW_SEP>

客户ID: EA575
客户公司: 襄樊地球村信息有限公司物联网
客户所在地: 丽娟市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 3.6星
评价日期: 2025年01月29日
评价内容: ""智能体重秤的质量还可以，性价比高，不过兼容性差。""<ROW_SEP>

客户ID: CZ861
客户公司: 合联电子科技有限公司信息技术
客户所在地: 荣市, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 2.8星
评价日期: 2025年01月17日
评价内容: ""噪音控制问题很严重，完全不值这个价格。""<ROW_SEP>

客户ID: VC531
客户公司: 九方传媒有限公司生物科技
客户所在地: 六盘水市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 2.0星
评价日期: 2024年11月25日
评价内容: ""作为第一次购买这类产品的新手，这款智能体重秤使用体验很差。连接稳定性简直无法忍受。""",630,88,GR729,2.5,2025-05-03,944,智能体重秤,格力 智能体重秤 Ultra,中建创业网络有限公司移动应用开发
"客户ID: XN875
客户公司: 天开传媒有限公司网络安全
客户所在地: 芳市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 1.2星
评价日期: 2024年11月15日
评价内容: ""不推荐这款智能体重秤，做工一般，很失望。""<ROW_SEP>

客户ID: WB890
客户公司: 鑫博腾飞网络有限公司金融科技
客户所在地: 马鞍山市, 中国
产品信息: 格力 智能体重秤 Ultra (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 4528.2
评分: 2.6星
评价日期: 2024年10月31日
评价内容: ""电池寿命问题很严重，完全不值这个价格。""<ROW_SEP>

客户ID: PL616
客户公司: 巨奥网络有限公司金融科技
客户所在地: 明市, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 4.7星
评价日期: 2024年09月13日
评价内容: ""在多次对比之后选择了这款，这款华为 智能体重秤 Advanced品质很好。如果非要说缺点的话，价格稍微贵了一点。整体体验不错。""<ROW_SEP>

客户ID: EK253
客户公司: 兰金电子科技有限公司区块链技术
客户所在地: 南昌市, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 3.9星
评价日期: 2024年08月08日
评价内容: ""我觉得，这款智能体重秤质量还行。优点是质量很好。最让我失望的是在日常使用场景下表现一般。值得购买。""<ROW_SEP>

客户ID: EB652
客户公司: 凌云信息有限公司虚拟现实
客户所在地: 秀珍县, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 4.1星
评价日期: 2024年06月26日
评价内容: ""这是我用过的最好的智能体重秤之一，安装方便，性价比很高。""<ROW_SEP>

客户ID: WB890
客户公司: 鑫博腾飞网络有限公司金融科技
客户所在地: 马鞍山市, 中国
产品信息: 华为 智能体重秤 Advanced (类别: 智能体重秤)
生产商: 华为智能生活
产品价格: 263.12
评分: 1.2星
评价日期: 2024年06月08日
评价内容: ""使用一周后出现故障，功能单一，售后服务也不好。""<ROW_SEP>

客户ID: QI779
客户公司: 合联电子科技有限公司网络安全
客户所在地: 沈阳县, 中国
产品信息: 格力 智能体重秤 Standard (类别: 智能体重秤)
生产商: 格力智能电器
产品价格: 9138.52
评分: 2.0星
评价日期: 2024年06月07日
评价内容: ""不推荐这款智能体重秤，售后服务差，很失望。""",128,88,XN875,1.2,2024-11-15,954,智能体重秤,格力 智能体重秤 Ultra,天开传媒有限公司网络安全
"客户ID: ZO854
客户公司: MBP软件科技有限公司信息技术
客户所在地: 丽华县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 2.5星
评价日期: 2026年05月12日
评价内容: ""噪音控制问题很严重，完全不值这个价格。""<ROW_SEP>

客户ID: IP471
客户公司: 银嘉信息有限公司移动应用开发
客户所在地: 荆门市, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 2.1星
评价日期: 2026年04月23日
评价内容: ""收到货后，这款索尼 智能冰箱 Elite质量太差。电池寿命简直无法忍受。希望厂家能重视这些问题。""<ROW_SEP>

客户ID: PL616
客户公司: 巨奥网络有限公司金融科技
客户所在地: 明市, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 2.6星
评价日期: 2026年04月18日
评价内容: ""对这款智能冰箱非常不满意，兼容性差，浪费钱。""<ROW_SEP>

客户ID: RG743
客户公司: 快讯信息有限公司智能科技
客户所在地: 勇县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 2.3星
评价日期: 2026年04月08日
评价内容: ""不推荐这款智能冰箱，安装困难，很失望。""<ROW_SEP>

客户ID: WB209
客户公司: 维涛传媒有限公司云计算
客户所在地: 秀华县, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 2.5星
评价日期: 2026年04月06日
评价内容: ""对这款智能冰箱非常不满意，反应迟钝，浪费钱。""<ROW_SEP>

客户ID: RY548
客户公司: 易动力信息有限公司网络安全
客户所在地: 斌县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 3.2星
评价日期: 2026年01月23日
评价内容: ""智能冰箱的质量还可以，音质出色，不过智能化程度低。""<ROW_SEP>

客户ID: BN418
客户公司: 易动力网络有限公司移动应用开发
客户所在地: 重庆市, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 4.5星
评价日期: 2025年12月22日
评价内容: ""这款产品的定时功能特别好用，在日常使用时特别方便。""",180,71,ZO854,2.5,2026-05-12,898,智能冰箱,索尼 智能冰箱 Elite,MBP软件科技有限公司信息技术
"客户ID: GR729
客户公司: 中建创业网络有限公司移动应用开发
客户所在地: 辽阳县, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 1.9星
评价日期: 2025年12月17日
评价内容: ""这款产品有严重问题，售后服务差，已经申请退款。""<ROW_SEP>

客户ID: CZ861
客户公司: 合联电子科技有限公司信息技术
客户所在地: 荣市, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 4.3星
评价日期: 2025年11月16日
评价内容: ""这是我用过的最好的智能冰箱之一，节能环保，性价比很高。""<ROW_SEP>

客户ID: XO649
客户公司: 晖来计算机传媒有限公司云计算
客户所在地: 郑州县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 1.0星
评价日期: 2025年11月13日
评价内容: ""对这款智能冰箱非常不满意，售后服务差，浪费钱。""<ROW_SEP>

客户ID: RG743
客户公司: 快讯信息有限公司智能科技
客户所在地: 勇县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 4.1星
评价日期: 2025年11月07日
评价内容: ""在工作时时使用效果很好，特别是静音设计功能。""<ROW_SEP>

客户ID: NU711
客户公司: 易动力科技有限公司人工智能
客户所在地: 桂兰县, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 4.5星
评价日期: 2025年10月22日
评价内容: ""这款智能冰箱质量很好，智能化程度高。总体来说很满意。""<ROW_SEP>

客户ID: WN094
客户公司: 菊风公司传媒有限公司数字科技
客户所在地: 秀梅市, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 3.0星
评价日期: 2025年10月13日
评价内容: ""在看电影时使用还不错，但在其他情况下表现一般。""<ROW_SEP>

客户ID: KM929
客户公司: 迪摩科技有限公司电子商务
客户所在地: 福州县, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 4.7星
评价日期: 2025年10月06日
评价内容: ""这款智能冰箱质量很好，功能齐全。总体来说很满意。""",238,38,GR729,1.9,2025-12-17,904,智能冰箱,西门子 智能冰箱 Standard,中建创业网络有限公司移动应用开发
"客户ID: MJ814
客户公司: 毕博诚科技有限公司互联网服务
客户所在地: 俊市, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 2.9星
评价日期: 2025年09月25日
评价内容: ""试用了几天，这款西门子 智能冰箱 Standard存在明显缺陷。在晚上睡前时完全不能正常工作。""<ROW_SEP>

客户ID: RY548
客户公司: 易动力信息有限公司网络安全
客户所在地: 斌县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 2.8星
评价日期: 2025年09月21日
评价内容: ""使用一周后出现故障，操作复杂，售后服务也不好。""<ROW_SEP>

客户ID: ZH741
客户公司: 巨奥科技有限公司信息技术
客户所在地: 峰县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 1.1星
评价日期: 2025年09月20日
评价内容: ""这款产品有严重问题，价格偏高，已经申请退款。""<ROW_SEP>

客户ID: FC418
客户公司: 网新恒天网络有限公司生物科技
客户所在地: 秀珍县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 3.3星
评价日期: 2025年09月10日
评价内容: ""在看电影时使用还不错，但在其他情况下表现一般。""<ROW_SEP>

客户ID: ZU351
客户公司: 银嘉科技有限公司科技公司
客户所在地: 秀荣市, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 1.8星
评价日期: 2025年09月04日
评价内容: ""噪音控制问题很严重，完全不值这个价格。""<ROW_SEP>

客户ID: CM245
客户公司: 万迅电脑信息有限公司科技公司
客户所在地: 洋县, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 4.7星
评价日期: 2025年08月02日
评价内容: ""使用了一个月，节能环保，没有发现任何问题。""<ROW_SEP>

客户ID: TW751
客户公司: 图龙信息网络有限公司云计算
客户所在地: 宁德市, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 2.4星
评价日期: 2025年07月16日
评价内容: ""这款产品有严重问题，音质一般，已经申请退款。""",1165,38,MJ814,2.9,2025-09-25,893,智能冰箱,西门子 智能冰箱 Standard,毕博诚科技有限公司互联网服务
"客户ID: MG296
客户公司: 浦华众城网络有限公司信息技术
客户所在地: 浩市, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 4.6星
评价日期: 2025年06月15日
评价内容: ""使用了一个月，质量很好，没有发现任何问题。""<ROW_SEP>

客户ID: NU711
客户公司: 易动力科技有限公司人工智能
客户所在地: 桂兰县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 4.3星
评价日期: 2025年06月14日
评价内容: ""这款智能冰箱质量很好，功能齐全。总体来说很满意。""<ROW_SEP>

客户ID: DV182
客户公司: 艾提科信传媒有限公司网络安全
客户所在地: 桂荣市, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 4.2星
评价日期: 2025年04月17日
评价内容: ""在做饭时时使用效果很好，特别是静音设计功能。""<ROW_SEP>

客户ID: AK874
客户公司: 昊嘉信息有限公司区块链技术
客户所在地: 雷市, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 1.6星
评价日期: 2025年04月15日
评价内容: ""连接稳定性问题很严重，完全不值这个价格。""<ROW_SEP>

客户ID: AW347
客户公司: 鸿睿思博传媒有限公司智能科技
客户所在地: 武汉市, 中国
产品信息: 西门子 智能冰箱 Standard (类别: 智能冰箱)
生产商: 西门子智能家居
产品价格: 4347.58
评分: 4.9星
评价日期: 2025年02月19日
评价内容: ""这款产品的智能场景特别好用，在家庭聚会时特别方便。""<ROW_SEP>

客户ID: FA862
客户公司: 方正科技网络有限公司云计算
客户所在地: 潮州县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 3.0星
评价日期: 2025年01月26日
评价内容: ""不得不说，这款智能冰箱一般般。静音设计设计得比较合理。而且在户外活动场景下表现一般。推荐给有需要的朋友。""<ROW_SEP>

客户ID: DX151
客户公司: 易动力信息有限公司物联网
客户所在地: 佛山县, 中国
产品信息: 索尼 智能冰箱 Elite (类别: 智能冰箱)
生产商: 索尼智能科技
产品价格: 6386.01
评分: 4.5星
评价日期: 2025年01月17日
评价内容: ""使用了一个月，反应灵敏，没有发现任何问题。""",823,38,MG296,4.6,2025-06-15,917,智能冰箱,西门子 智能冰箱 Standard,浦华众城网络有限公司信息技术
